source,gear,win,arrive,done,dropped,cum_arrived,cum_done,cum_dropped,hit_n,empty_n,rt_hit_p50,rt_empty_p50,prep_hit_p50,prep_empty_p50,thermal,battC,bucketed
camera_sweep2.log,0,12,24.0,24.49,0,578,579,0,30,0,36.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,13,21.22,20.73,0,621,621,0,30,0,46.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,14,24.69,24.69,0,671,671,0,30,0,38.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,15,23.1,23.1,0,718,718,0,30,0,35.0,-1.0,1.0,-1.0,3,40.0,True
camera_sweep2.log,0,16,23.6,23.6,0,766,766,0,30,7,35.0,32.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,17,26.97,26.97,0,821,821,0,30,30,35.0,29.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,18,27.81,28.3,0,877,878,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,19,28.77,28.27,0,935,935,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,20,26.06,26.06,0,988,988,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,21,27.68,27.68,0,1044,1044,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,22,26.84,26.84,0,1098,1098,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,23,27.45,27.94,0,1153,1154,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,24,26.3,26.3,0,1206,1207,0,30,30,35.0,29.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,25,27.75,27.75,0,1262,1263,0,30,30,35.0,27.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,26,28.74,28.25,0,1320,1320,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,27,26.46,26.96,0,1373,1374,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,28,26.75,26.25,0,1427,1427,0,30,30,35.0,31.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,29,29.04,29.04,0,1486,1486,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,30,27.16,27.65,0,1541,1542,0,30,30,35.0,29.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,31,27.72,27.23,0,1597,1597,0,30,30,35.0,31.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,32,28.3,28.3,0,1654,1654,0,30,30,35.0,28.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,33,28.81,28.81,0,1713,1713,0,30,30,35.0,27.0,1.0,1.0,3,40.0,True
camera_sweep2.log,0,34,27.28,27.28,0,1768,1768,0,30,30,35.0,30.0,1.0,1.0,3,40.0,True
